layer,PC,context,n,mean,std,ci_low,ci_high
0,1,intergenic,8000,-0.002492982428520918,1.224453330039978,-0.02941679088398814,0.022860518796369435
0,2,intergenic,8000,0.04075797274708748,1.562843918800354,0.00854758924106136,0.07535490281879903
0,3,intergenic,8000,0.14872048795223236,2.4066624641418457,0.09651421420276166,0.19882307052612305
0,4,intergenic,8000,0.17720428109169006,1.8449264764785767,0.1320091921836138,0.22140164673328402
0,5,intergenic,8000,-0.004876844584941864,0.84244704246521,-0.021477704122662544,0.010475482465699317
1,1,intergenic,8000,0.21073389053344727,1.2796298265457153,0.1798173997551203,0.23280760422348976
1,2,intergenic,8000,0.0492953322827816,0.8613051176071167,0.031595454458147286,0.06557987555861473
1,3,intergenic,8000,0.12571510672569275,1.3348326683044434,0.09634750112891197,0.15625148937106134
1,4,intergenic,8000,0.11453845351934433,1.1463236808776855,0.09078568816184998,0.14002926796674728
1,5,intergenic,8000,0.03554585203528404,0.6947208642959595,0.020613354118540882,0.05005566813051701
2,1,intergenic,8000,0.22874191403388977,2.170849561691284,0.1804070882499218,0.2767585217952728
2,2,intergenic,8000,0.07245148718357086,0.8762334585189819,0.05625567371025682,0.09668794237077236
2,3,intergenic,8000,0.10225726664066315,0.9231765270233154,0.08283389322459697,0.12578739114105703
2,4,intergenic,8000,0.06551266461610794,0.7756376266479492,0.04827228784561157,0.08149477038532496
2,5,intergenic,8000,0.0641515925526619,0.6033266186714172,0.051365735940635204,0.07605268433690071
3,1,intergenic,8000,-0.2507402002811432,1.8635450601577759,-0.2876005843281746,-0.21174258962273595
3,2,intergenic,8000,0.021728752180933952,2.3973376750946045,-0.02793832253664732,0.06384303290396932
3,3,intergenic,8000,0.18824774026870728,1.1471670866012573,0.16659747622907162,0.21393990814685823
3,4,intergenic,8000,0.11601555347442627,0.8958144783973694,0.09827780406922101,0.13414656706154346
3,5,intergenic,8000,0.1681002825498581,0.6355232000350952,0.1561052341014147,0.1825541105121374
4,1,intergenic,8000,-0.32662585377693176,2.076815128326416,-0.3715832717716694,-0.28359605818986894
4,2,intergenic,8000,0.017262082546949387,2.115360975265503,-0.02908242023549974,0.06136583611369136
4,3,intergenic,8000,0.17593048512935638,0.8845760226249695,0.1578968610614538,0.1950945295393467
4,4,intergenic,8000,0.07892487943172455,0.6463744640350342,0.06594827212393284,0.09163929708302021
4,5,intergenic,8000,0.21322381496429443,0.9035484194755554,0.19614121951162816,0.23354225903749468
5,1,intergenic,8000,0.3510858118534088,2.7707035541534424,0.29848198816180227,0.40863641574978826
5,2,intergenic,8000,0.01478120032697916,1.9947928190231323,-0.028909776872023937,0.06190327731892468
5,3,intergenic,8000,0.12956561148166656,0.8432295918464661,0.11284581646323204,0.14569824486970903
5,4,intergenic,8000,0.05266181007027626,0.682325005531311,0.03882931089028716,0.06807961221784355
5,5,intergenic,8000,0.18119366466999054,0.7324322462081909,0.16333303786814213,0.19673033766448497
6,1,intergenic,8000,1.2920442819595337,6.474168300628662,1.159251657128334,1.4169271171092988
