layer,PC,pair,n_per_class,AUROC
7,4,splice_donor_vs_intron,527,0.5830745959716583
8,4,splice_donor_vs_intron,527,0.5609426001114561
9,4,splice_donor_vs_intron,527,0.5561659103574556
10,4,splice_donor_vs_intron,527,0.5794124671602581
11,4,splice_donor_vs_intron,527,0.5755513096091076
12,4,splice_donor_vs_intron,527,0.5776212085025078
13,4,splice_donor_vs_intron,527,0.5778202372422577
14,4,splice_donor_vs_intron,527,0.5832736247114083
15,4,splice_donor_vs_intron,527,0.590558076586259
16,4,splice_donor_vs_intron,527,0.6079133826924609
17,4,splice_donor_vs_intron,527,0.6153172518111616
18,4,splice_donor_vs_intron,527,0.6283337313908128
19,4,splice_donor_vs_intron,527,0.6351405142902635
20,4,splice_donor_vs_intron,527,0.6466045696998647
21,4,splice_donor_vs_intron,527,0.6472812674150148
22,4,splice_donor_vs_intron,527,0.6412307937266142
23,4,splice_donor_vs_intron,527,0.6487938858371148
24,4,splice_donor_vs_intron,527,0.7070695008359207
25,4,splice_donor_vs_intron,527,0.7140753124751213
26,4,splice_donor_vs_intron,527,0.6574715388902157
27,4,splice_donor_vs_intron,527,0.6135657989013613
28,4,splice_donor_vs_intron,527,0.539686330706154
29,4,splice_donor_vs_intron,527,0.6053658148236605
30,4,splice_donor_vs_intron,527,0.5157630761882016
31,4,splice_donor_vs_intron,527,0.5157630761882016
0,5,splice_donor_vs_intron,527,0.5076427036064007
1,5,splice_donor_vs_intron,527,0.6083910516678609
2,5,splice_donor_vs_intron,527,0.6033357216782104
3,5,splice_donor_vs_intron,527,0.5935833134304593
4,5,splice_donor_vs_intron,527,0.5762678130722076
5,5,splice_donor_vs_intron,527,0.6429424408884643
6,5,splice_donor_vs_intron,527,0.6250298543109625
7,5,splice_donor_vs_intron,527,0.6157949207865616
8,5,splice_donor_vs_intron,527,0.48523206751054854
9,5,splice_donor_vs_intron,527,0.530013533954303
10,5,splice_donor_vs_intron,527,0.5269086856142027
11,5,splice_donor_vs_intron,527,0.5181514210652018
12,5,splice_donor_vs_intron,527,0.5246397579810526
13,5,splice_donor_vs_intron,527,0.5648037576626065
14,5,splice_donor_vs_intron,527,0.5718891807977072
15,5,splice_donor_vs_intron,527,0.5692620014330069
16,5,splice_donor_vs_intron,527,0.6067988217498607
17,5,splice_donor_vs_intron,527,0.6280152854072129
18,5,splice_donor_vs_intron,527,0.5920308892604091
19,5,splice_donor_vs_intron,527,0.5687445267096568
20,5,splice_donor_vs_intron,527,0.5706153968633071
21,5,splice_donor_vs_intron,527,0.5480057320277049
22,5,splice_donor_vs_intron,527,0.5203009314545021
23,5,splice_donor_vs_intron,527,0.5348698352042035
24,5,splice_donor_vs_intron,527,0.5665950163203566
25,5,splice_donor_vs_intron,527,0.5679484117506568
26,5,splice_donor_vs_intron,527,0.5978425284611097
27,5,splice_donor_vs_intron,527,0.5859804155720086
28,5,splice_donor_vs_intron,527,0.5388902157471539
29,5,splice_donor_vs_intron,527,0.5937823421702094
30,5,splice_donor_vs_intron,527,0.5283018867924528
31,5,splice_donor_vs_intron,527,0.5283018867924528
