classifier,CV_AUROC,CV_AUPRC,n_train
logreg_L2_C1,0.9487902544567738,0.9409744023187676,8008
logreg_L2_C0.1,0.9457180496654111,0.937988581926885,8008
gbm_n100,0.9495332611951584,0.9416381112273171,8008
baseline_dh_L8,0.8550146163391448,,8008
