layer,metric,PC,spearman_r,p,n
14,M1_dir_refA,3,0.05337388619141781,4.1222918333995206e-39,60000
14,M1_dir_refA,4,0.020849789987483443,3.26305041598273e-07,60000
14,M1_dir_refA,5,-0.0006175509594611817,0.8797664116330832,60000
15,M1_dir_refA,1,-0.3799761920625705,0.0,60000
15,M1_dir_refA,2,0.061024659140946805,1.309194000913669e-50,60000
15,M1_dir_refA,3,0.00676180522352403,0.09766478879654096,60000
15,M1_dir_refA,4,-0.0303519162394641,1.0360021253164629e-13,60000
15,M1_dir_refA,5,0.036438148147963534,4.3273881896294677e-19,60000
16,M1_dir_refA,1,-0.3004784399239499,0.0,60000
16,M1_dir_refA,2,0.06700344820143932,1.1560699589638895e-60,60000
16,M1_dir_refA,3,-0.025776670127976947,2.7035976948744994e-10,60000
16,M1_dir_refA,4,-0.07953573559141759,8.562531128381097e-85,60000
16,M1_dir_refA,5,0.09720568489402756,6.831081573575581e-126,60000
17,M1_dir_refA,1,-0.4311653235107218,0.0,60000
17,M1_dir_refA,2,0.05712847564317571,1.4587899046205582e-44,60000
17,M1_dir_refA,3,0.02807680388985889,6.044490438823455e-12,60000
17,M1_dir_refA,4,0.016568435887918346,4.936454093404727e-05,60000
17,M1_dir_refA,5,0.06868187698507136,1.1790445355093951e-63,60000
18,M1_dir_refA,1,-0.4345474828292623,0.0,60000
18,M1_dir_refA,2,0.06145137860080348,2.6948766002156767e-51,60000
18,M1_dir_refA,3,0.029226509509895113,8.045147482620712e-13,60000
18,M1_dir_refA,4,0.01926132865742303,2.3772769789983548e-06,60000
18,M1_dir_refA,5,0.040978209373555674,1.0005965218195604e-23,60000
19,M1_dir_refA,1,-0.42188636594390055,0.0,60000
19,M1_dir_refA,2,0.056508047120144254,1.2308584360011284e-43,60000
19,M1_dir_refA,3,0.005777748809271551,0.156999321175022,60000
19,M1_dir_refA,4,-0.02259109454657083,3.125515358565661e-08,60000
19,M1_dir_refA,5,0.0583927626267597,1.7594819480006828e-46,60000
20,M1_dir_refA,1,-0.4443395667195948,0.0,60000
20,M1_dir_refA,2,0.04939817712538688,9.677352592262159e-34,60000
20,M1_dir_refA,3,0.03419372370844034,5.3837936797832423e-17,60000
20,M1_dir_refA,4,0.011848769225068919,0.0037033277595899094,60000
20,M1_dir_refA,5,0.031504649707591724,1.1744222509501747e-14,60000
21,M1_dir_refA,1,-0.4455848484900843,0.0,60000
21,M1_dir_refA,2,0.054724533799698785,4.973339314964714e-41,60000
21,M1_dir_refA,3,0.022145637687524696,5.792097525368752e-08,60000
21,M1_dir_refA,4,-0.012337831720963467,0.002509519168753872,60000
21,M1_dir_refA,5,0.0707351452718254,2.046874412381994e-67,60000
22,M1_dir_refA,1,-0.4465229197604407,0.0,60000
