layer,pair,n_per_class,AUROC
28,3utr_vs_intron,7879,0.8343396863843152
29,3utr_vs_intron,7879,0.6917007724439634
30,3utr_vs_intron,7879,0.6752833857266786
31,3utr_vs_intron,7879,0.6752833857266786
0,splice_donor_vs_intron,527,0.7676140434678768
1,splice_donor_vs_intron,527,0.9260807260568426
2,splice_donor_vs_intron,527,0.9416845792532442
3,splice_donor_vs_intron,527,0.9443117586179445
4,splice_donor_vs_intron,527,0.9492874771116949
5,splice_donor_vs_intron,527,0.9550991163123955
6,splice_donor_vs_intron,527,0.9528699944271952
7,splice_donor_vs_intron,527,0.9365098320197437
8,splice_donor_vs_intron,527,0.9435952551548444
9,splice_donor_vs_intron,527,0.9462622402674947
10,splice_donor_vs_intron,527,0.9526311599394953
11,splice_donor_vs_intron,527,0.9509593185255951
12,splice_donor_vs_intron,527,0.9541835841095454
13,splice_donor_vs_intron,527,0.9513175702571451
14,splice_donor_vs_intron,527,0.9480136931772948
15,splice_donor_vs_intron,527,0.9447496218453945
16,splice_donor_vs_intron,527,0.950362232306345
17,splice_donor_vs_intron,527,0.9531884404107953
18,splice_donor_vs_intron,527,0.9518350449804952
19,splice_donor_vs_intron,527,0.9525515484435952
20,splice_donor_vs_intron,527,0.9542631956054455
21,splice_donor_vs_intron,527,0.9573282381975957
22,splice_donor_vs_intron,527,0.9691903510866969
23,splice_donor_vs_intron,527,0.9707029695087971
24,splice_donor_vs_intron,527,0.9734893718652974
25,splice_donor_vs_intron,527,0.9735689833611973
26,splice_donor_vs_intron,527,0.9733301488734972
27,splice_donor_vs_intron,527,0.9779874213836478
28,splice_donor_vs_intron,527,0.9319321710054932
29,splice_donor_vs_intron,527,0.7938062256189794
30,splice_donor_vs_intron,527,0.8339304195525835
31,splice_donor_vs_intron,527,0.8339304195525835
0,splice_acceptor_vs_intron,533,0.6662109375
1,splice_acceptor_vs_intron,533,0.856640625
2,splice_acceptor_vs_intron,533,0.918125
