cluster,layer,mean_dh_norm_2,mean_delta_cos,n
6,27,36.28880310058594,0.5542104840278625,1407
6,28,6190.138671875,0.40588998794555664,1407
6,29,8092286.5,0.2115878313779831,1407
6,30,2098944278528.0,0.1283911168575287,1407
6,31,2098944278528.0,0.1283911168575287,1407
7,0,0.16494837403297424,0.6222699284553528,148
7,1,0.19111885130405426,0.39749228954315186,148
7,2,0.2230854481458664,0.2775507867336273,148
7,3,0.27273619174957275,0.47054970264434814,148
7,4,0.42139631509780884,0.42727288603782654,148
7,5,0.5202500224113464,0.42735663056373596,148
7,6,0.8421375751495361,0.4716879427433014,148
7,7,1.2686097621917725,0.34076011180877686,148
7,8,1.4680005311965942,0.3936907649040222,148
7,9,1.894152045249939,0.29692283272743225,148
7,10,2.3755228519439697,0.3425251841545105,148
7,11,3.0947704315185547,0.3709692060947418,148
7,12,3.3889830112457275,0.4136814475059509,148
7,13,3.98250675201416,0.42981451749801636,148
7,14,4.597582817077637,0.42934438586235046,148
7,15,4.884893894195557,0.47076085209846497,148
7,16,5.3069233894348145,0.43277883529663086,148
7,17,5.707765102386475,0.45236122608184814,148
7,18,6.097705841064453,0.4218222200870514,148
7,19,6.443859100341797,0.46900567412376404,148
7,20,6.9446702003479,0.47755885124206543,148
7,21,7.506886959075928,0.44075632095336914,148
7,22,8.077690124511719,0.4983091652393341,148
7,23,8.95479679107666,0.4568646550178528,148
7,24,10.497353553771973,0.4320051968097687,148
7,25,13.962885856628418,0.4175621271133423,148
7,26,17.97154426574707,0.4868065118789673,148
7,27,29.563905715942383,0.5931710004806519,148
7,28,6450.5693359375,0.23803308606147766,148
7,29,5416859.5,0.0878811925649643,148
7,30,1437464264704.0,0.024409502744674683,148
7,31,1437464264704.0,0.024409502744674683,148
8,0,0.16549712419509888,0.6292888522148132,402
8,1,0.19443024694919586,0.4166344702243805,402
8,2,0.23497694730758667,0.2963757812976837,402
8,3,0.29053547978401184,0.49999210238456726,402
8,4,0.43843650817871094,0.4988042116165161,402
8,5,0.5317057371139526,0.47947457432746887,402
8,6,0.7622583508491516,0.49466776847839355,402
8,7,0.9464435577392578,0.3147667944431305,402
8,8,1.0742138624191284,0.40880072116851807,402
8,9,1.4438422918319702,0.29644137620925903,402
8,10,1.8230476379394531,0.24848657846450806,402
8,11,2.140744686126709,0.222246915102005,402
8,12,2.3460867404937744,0.28908252716064453,402
8,13,2.689069986343384,0.227215975522995,402
8,14,2.933523654937744,0.19724194705486298,402
8,15,3.1366753578186035,0.25639259815216064,402
8,16,3.4967241287231445,0.2805465757846832,402
8,17,3.875288248062134,0.21571433544158936,402
8,18,4.114091873168945,0.18189160525798798,402
8,19,4.380403518676758,0.220734104514122,402
8,20,4.835076808929443,0.21891731023788452,402
8,21,5.380676746368408,0.20352202653884888,402
8,22,5.888132572174072,0.2553125023841858,402
8,23,6.999180793762207,0.2673165202140808,402
8,24,10.054723739624023,0.30383938550949097,402
8,25,15.515445709228516,0.3628722131252289,402
8,26,20.895593643188477,0.4635462164878845,402
8,27,41.293540954589844,0.6753494739532471,402
8,28,13597.509765625,0.40699806809425354,402
8,29,8248064.5,0.25762006640434265,402
8,30,3210067312640.0,0.028521670028567314,402
8,31,3210067312640.0,0.028521670028567314,402
9,0,0.17121483385562897,0.6253271698951721,291
9,1,0.19590052962303162,0.4127805531024933,291
9,2,0.2262485921382904,0.2797977328300476,291
9,3,0.2683437466621399,0.4682994782924652,291
9,4,0.41999268531799316,0.48275327682495117,291
9,5,0.5187644362449646,0.4734423756599426,291
9,6,0.7296868562698364,0.4866142272949219,291
9,7,0.9101399183273315,0.29553642868995667,291
9,8,1.0421950817108154,0.3867816627025604,291
9,9,1.3916234970092773,0.27151793241500854,291
9,10,1.7036625146865845,0.22070689499378204,291
9,11,2.0586721897125244,0.2079952210187912,291
9,12,2.2577126026153564,0.26544085144996643,291
9,13,2.613102436065674,0.21400268375873566,291
9,14,2.897034168243408,0.19225507974624634,291
9,15,3.1095542907714844,0.24426500499248505,291
9,16,3.4149129390716553,0.24744156002998352,291
9,17,3.7157435417175293,0.19964179396629333,291
9,18,3.984328508377075,0.1723053902387619,291
9,19,4.252701282501221,0.20633113384246826,291
9,20,4.78058385848999,0.20599596202373505,291
9,21,5.364821910858154,0.19025307893753052,291
9,22,5.903883934020996,0.2318524271249771,291
9,23,6.8860907554626465,0.22310510277748108,291
9,24,9.136895179748535,0.23649843037128448,291
9,25,14.672374725341797,0.3039693534374237,291
9,26,19.494035720825195,0.38659918308258057,291
9,27,36.860721588134766,0.5594356656074524,291
9,28,7079.09619140625,0.11240153759717941,291
9,29,2841083.5,0.030448677018284798,291
9,30,813901021184.0,0.002950606169179082,291
9,31,813901021184.0,0.002950606169179082,291
10,0,0.14554068446159363,0.4999248683452606,52
10,1,0.16705086827278137,0.30829328298568726,52
