cell,n_outlier,outlier_near_splice_frac,random_near_splice_frac,enrichment_fold
M3_geo_a0.0_b1.0,149412,0.1108880143495837,0.09565496747249216,1.1592499300307866
M3_geo_a0.5_b1.0,262041,0.10764727657122358,0.07000812849897535,1.537639683837558
M3_geo_a1.0_b1.0,533348,0.09991600230993648,0.07228301221716403,1.382288856609255
M3_geo_a1.0_b0.5,2230878,0.08849430582936404,0.0783906605381379,1.1288883806038428
M5_tau_refB,1046855,0.21048378237673795,0.07806429734777022,2.6962874134260058
